project_id,id,l1_tag,l2_tag,l3_tag,l4_tag,l5_tag,tags,time_start,time_end,time_taken,day,week,month
1,1,bq,al,,,,"[""a"", ""b"", ""c""]",,,0.09,2,1,6
1,2,postgres,bl,,,,"[""b"", ""c"", ""e""]",,,0.08,3,1,6
1,3,bq,cl,,,,"[""a"", ""d"", ""e""]",,,0.06,4,1,6
1,4,postgres,dl,,,,"[""a"", ""b"", ""c""]",,,0.04,5,1,6
1,5,bq,el,,,,"[""b"", ""c"", ""e""]",,,0.08,6,1,6
1,6,postgres,al,,,,"[""a"", ""d"", ""e""]",,,0.05,7,1,6
1,7,bq,bl,,,,"[""a"", ""b"", ""c""]",,,0.05,8,1,6
1,8,postgres,cl,,,,"[""b"", ""c"", ""e""]",,,0.05,9,1,6
1,9,bq,dl,,,,"[""a"", ""d"", ""e""]",,,0.08,10,2,6
1,10,postgres,el,,,,"[""a"", ""b"", ""c""]",,,0.08,11,2,6
1,11,bq,al,,,,"[""b"", ""c"", ""e""]",,,0.09,12,2,9
1,12,postgres,bl,,,,"[""a"", ""d"", ""e""]",,,0.08,13,2,9
1,13,bq,cl,,,,"[""a"", ""b"", ""c""]",,,0.06,14,2,9
1,14,postgres,dl,,,,"[""b"", ""c"", ""e""]",,,0.04,15,3,9
1,15,bq,el,,,,"[""a"", ""d"", ""e""]",,,0.08,16,3,9
1,16,postgres,al,,,,"[""a"", ""b"", ""c""]",,,0.09,17,3,9
1,17,bq,bl,,,,"[""b"", ""c"", ""e""]",,,0.08,18,3,9
1,18,postgres,cl,,,,"[""a"", ""d"", ""e""]",,,0.06,19,3,9
1,19,bq,dl,,,,"[""a"", ""b"", ""c""]",,,0.04,20,3,9
1,20,postgres,el,,,,"[""b"", ""c"", ""e""]",,,0.05,21,3,9
2,15,bq,al,,,,"[""a"", ""d"", ""e""]",,,0.05,4,4,9
2,16,postgres,bl,,,,"[""a"", ""b"", ""c""]",,,0.09,5,4,10
2,17,bq,cl,,,,"[""b"", ""c"", ""e""]",,,0.08,6,4,10
2,18,postgres,dl,,,,"[""a"", ""d"", ""e""]",,,0.06,7,4,10
2,19,bq,el,,,,"[""a"", ""b"", ""c""]",,,0.04,8,4,10
2,20,postgres,al,,,,"[""b"", ""c"", ""e""]",,,0.04,9,4,10
2,21,bq,bl,,,,"[""a"", ""d"", ""e""]",,,0.04,10,4,10
2,22,postgres,cl,,,,"[""a"", ""b"", ""c""]",,,0.04,11,2,10
2,23,bq,dl,,,,"[""b"", ""c"", ""e""]",,,0.08,12,2,10
2,24,postgres,el,,,,"[""a"", ""d"", ""e""]",,,0.08,13,2,10
2,25,bq,al,,,,"[""a"", ""b"", ""c""]",,,0.09,14,2,10
2,26,postgres,bl,,,,"[""b"", ""c"", ""e""]",,,0.08,15,2,10
2,27,bq,cl,,,,"[""a"", ""d"", ""e""]",,,0.06,16,2,11
2,28,postgres,dl,,,,"[""a"", ""b"", ""c""]",,,0.04,17,2,11
2,29,bq,el,,,,"[""b"", ""c"", ""e""]",,,0.09,18,2,11
2,30,postgres,al,,,,"[""a"", ""d"", ""e""]",,,0.09,19,2,11
2,31,bq,bl,,,,"[""a"", ""b"", ""c""]",,,0.08,20,3,11
2,32,postgres,cl,,,,"[""b"", ""c"", ""e""]",,,0.06,21,3,11
2,33,bq,dl,,,,"[""a"", ""d"", ""e""]",,,0.04,22,3,11
2,34,postgres,el,,,,"[""a"", ""b"", ""c""]",,,0.09,23,3,11